FID,OBJECTID,FID_,biosum_plo,statecd,invyr,unitcd,countycd,plot,measyear,measmon,measday,elev,fvs_varian,half_state,subplot_co,gis_yard_d,gis_protec,gis_roadle,all_cond_n,plot_acces,num_cond,one_cond_y,lat,lon,macro_brea,merch_haul,merch_ha_1,merch_ha_2,chip_haul_,chip_hau_1,chip_hau_2,biosum_sta,gis_status,idb_plot_i,cn,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
20,21,20,120060605060000000000000.000000000000000,6,2006,5,19,84851,2006,9,1,7300,WS,CA, , ,N,N,N,Y,2,N,37.060000000000002,-118.930000000000010,24, , , , , , ,1,1, ,8888920010900.000000000000000,415893,3430.399616820000100,92871.596200000000000,-108455.970200000000000
21,22,21,120060605060000000000000.000000000000000,6,2006,1,23,51062,2006,8,10,4300,NC,CA, , ,N,N,N,Y,1,Y,40.380000000000003,-123.650000000000010,24, , , , , , ,1,1, ,8891866010900.000000000000000,60169,1066.845634730000000,-308785.549500000020000,268800.332799999970000
22,23,22,120060605060000000000000.000000000000000,6,2006,1,23,55540,2006,7,5,3100,NC,CA, , ,N,N,N,Y,2,N,40.109999999999999,-123.680000000000010,24, , , , , , ,1,1, ,8891210010900.000000000000000,2006146,593.276886333999980,-313128.726082000010000,238343.681485999990000
23,24,23,120060605060000000000000.000000000000000,6,2006,5,29,67727,2006,10,21,3700,WS,CA, , ,N,N,N,Y,1,Y,35.570000000000000,-118.270000000000000,24, , , , , , ,1,1, ,8900493010900.000000000000000,968221,83.542945269100002,156673.302830000000000,-270532.499045000000000
24,25,24,120060605060000000000000.000000000000000,6,2006,3,33,59355,2006,11,9,1900,NC,CA, , ,N,N,N,Y,2,N,39.119999999999997,-122.970000000000000,24, , , , , , ,1,1, ,8901373010900.000000000000000,67534,56.210473485500003,-256560.532951000000000,126734.822334000000000
25,26,25,120060605060000000000000.000000000000000,6,2006,2,35,72523,2006,9,5,6100,SO,CA, , ,N,N,N,Y,1,Y,40.920000000000002,-120.670000000000000,24, , , , , , ,1,1, ,8905053010900.000000000000000,1400539,52.946537159700000,-56451.468600000000000,322769.615500000010000
26,27,26,120060605060000000000000.000000000000000,6,2006,5,39,72095,2006,11,30,900,CA,CA, , ,N,N,N,Y,1,Y,37.270000000000003,-119.849999999999990,24, , , , , , ,1,1, ,8906841010900.000000000000000,2051425,78.766786552200003,13327.477746099999000,-83024.437553099997000
27,28,27,120060605060000000000000.000000000000000,6,2006,5,43,53581,2006,6,21,2100,CA,CA, , ,N,N,N,Y,1,Y,37.729999999999997,-120.209999999999990,24, , , , , , ,1,1, ,8909391010900.000000000000000,2057178,124.524094999000000,-18587.369757799999000,-31881.859451000000000
28,29,28,120060605060000000000000.000000000000000,6,2006,5,43,58557,2006,10,31,1500,CA,CA, , ,N,N,N,Y,2,N,37.590000000000003,-120.200000000000000,24, , , , , , ,1,1, ,8908917010900.000000000000000,1199721,925.316820742999990,-17490.266899999999000,-46465.179199999999000
29,30,29,120060605060000000000000.000000000000000,6,2006,5,43,64943,2006,6,19,2100,CA,CA, , ,N,N,N,Y,1,Y,37.409999999999997,-120.030000000000000,24, , , , , , ,1,1, ,8908514010900.000000000000000,1199359,329.408678124999990,-2361.200999960000000,-67251.458599999998000
30,31,30,120060605060000000000000.000000000000000,6,2006,1,45,67698,2006,8,9,1500,NC,CA, , ,N,N,N,Y,3,N,39.039999999999999,-123.610000000000000,24, , , , , , ,1,1, ,8910176010900.000000000000000,89045,708.663645090000050,-312592.821100000000000,120249.060700000000000
31,32,31,120060605060000000000000.000000000000000,6,2006,1,45,68647,2006,8,4,2300,NC,CA, , ,N,N,N,Y,2,N,38.909999999999997,-123.550000000000000,24, , , , , , ,1,1, ,8910061010900.000000000000000,89651,130.009684666000000,-307517.803200999970000,104973.057458000000000
32,33,32,120060605060000000000000.000000000000000,6,2006,1,45,83419,2006,10,12,900,NC,CA, , ,N,N,N,Y,2,N,39.130000000000003,-123.450000000000000,24, , , , , , ,1,1, ,8910313010900.000000000000000,78267,967.079805287000000,-298381.845500000000000,130059.594900000000000
33,34,33,120060605060000000000000.000000000000000,6,2006,1,45,94236,2006,8,5,900,NC,CA, , ,N,N,N,Y,2,N,38.780000000000001,-123.380000000000000,24, , , , , , ,1,1, ,8909916010900.000000000000000,89871,204.864601706999990,-293187.310699999970000,90303.955300000001000
34,35,34,120060605061000000000000.000000000000000,6,2006,4,53,58878,2006,6,5,1900,WS,CA, , ,N,N,N,Y,2,N,35.930000000000000,-120.980000000000000,24, , , , , , ,1,1, ,8919345010900.000000000000000,1218830,284.149588777000020,-88303.475120899995000,-231720.703130000010000
35,36,35,120060605061000000000000.000000000000000,6,2006,6,73,75245,2006,5,12,4700,WS,CA, , ,N,N,N,Y,1,Y,33.149999999999999,-116.590000000000000,24, , , , , , ,1,1, ,8895307010900.000000000000000,541318,510.171163288999990,317845.878800000010000,-534734.437099999980000
36,37,36,120060605061000000000000.000000000000000,6,2006,4,79,76764,2006,9,15,1500,WS,CA, , ,N,N,N,Y,2,N,35.250000000000000,-120.390000000000000,24, , , , , , ,1,1, ,8896153010900.000000000000000,1896945,328.654733840000010,-35247.674394299996000,-307103.155679000020000
37,38,37,120060605061000000000000.000000000000000,6,2006,2,93,56069,2006,7,13,6300,NC,CAMIX, , ,N,N,N,Y,1,Y,41.539999999999999,-123.319999999999990,24, , , , , , ,1,1, ,8955350010900.000000000000000,1576006,5800.682568100000000,-283120.212000000000000,395922.512800000030000
38,39,38,120060605061000000000000.000000000000000,6,2006,2,93,61925,2006,9,26,5500,CA,CA, , ,N,N,N,Y,1,Y,41.450000000000003,-122.670000000000000,24, , , , , , ,1,1, ,8955069010900.000000000000000,1589519,1045.941881230000000,-224195.678600000010000,385168.528500000010000
39,40,39,120060605061000000000000.000000000000000,6,2006,2,93,81729,2006,9,18,6900,SO,CA, , ,N,N,N,Y,1,Y,41.570000000000000,-121.569999999999990,24, , , , , , ,1,1, ,8956368010900.000000000000000,371939,548.569321168999980,-130591.011700000000000,395663.091799999990000
40,41,40,120060605061000000000000.000000000000000,6,2006,2,93,98087,2006,9,28,5300,SO,CA, , ,N,N,N,Y,1,Y,41.960000000000001,-122.130000000000000,24, , , , , , ,1,1, ,8960153010900.000000000000000,1592057,463.957685237000020,-176601.667200000000000,440336.428399999980000
41,42,41,120060605061000000000000.000000000000000,6,2006,1,97,76272,2006,10,11,1700,NC,CA, , ,N,N,N,Y,1,Y,38.789999999999999,-122.940000000000000,24, , , , , , ,1,1, ,8961294010900.000000000000000,132994,165.982089446999990,-254980.911610000010000,90094.597032599995000
42,43,42,120060605061000000000000.000000000000000,6,2006,1,97,79792,2006,11,15,1300,NC,CA, , ,N,N,N,Y,3,N,38.649999999999999,-123.060000000000000,24, , , , , , ,1,1, ,8961064010900.000000000000000,128696,326.993229504999990,-266095.380799999980000,74424.168200000000000
43,44,43,120060605061000000000000.000000000000000,6,2006,2,105,53987,2006,11,1,5900,CA,CA, , ,N,N,N,Y,2,N,40.939999999999998,-123.080000000000000,24, , , , , , ,1,1, ,8967136010900.000000000000000,314151,6216.728022330000400,-265316.393500000010000,326992.686400000010000
44,45,44,120060605061000000000000.000000000000000,6,2006,2,105,98828,2006,10,3,4500,CA,CAMIX, , ,N,N,N,Y,1,Y,41.060000000000002,-123.410000000000000,24, , , , , , ,1,1, ,8973837010900.000000000000000,1532710,5422.978158709999700,-288481.821200000010000,338175.547499999990000
45,46,45,120060605061000000000000.000000000000000,6,2006,5,107,60912,2006,8,15,3900,WS,CA, , ,N,N,N,Y,1,Y,35.850000000000001,-118.410000000000000,24, , , , , , ,1,1, ,8968876010900.000000000000000,992536,1940.106328730000100,141551.055700000000000,-239138.948399999990000
46,47,46,120070601069999990000000.000000000000000,6,2007,1,15,86207,2007,11,1,3100,CA,CA, , ,N,N,N,Y,1,Y,41.979999999999997,-123.650000000000010,24, , , , , , ,1,1, ,29396052010500.000000000000000,1435454,2.823324818070000,-303002.500999999990000,446044.430911000000000
47,48,47,120070601071000000000000.000000000000000,6,2007,2,93,66783,2007,8,21,5300,CA,CAMIX, , ,N,N,N,Y,2,N,41.979999999999997,-122.930000000000010,24, , , , , , ,1,1, ,29396157010500.000000000000000,306541,22.566629953100001,-243254.685407000010000,443948.402612000010000
48,49,48,120070601071000000000000.000000000000000,6,2007,2,93,85856,2007,10,11,3900,CA,CA, , ,N,N,N,Y,1,Y,41.960000000000001,-123.130000000000000,24, , , , , , ,1,1, ,29396158010500.000000000000000,1606251,467.997063011000020,-259550.852600000010000,442007.845299999990000
49,50,49,120070601071000000000000.000000000000000,6,2007,2,93,87272,2007,10,24,3300,CA,CA, , ,N,N,N,Y,1,Y,41.979999999999997,-123.220000000000000,24, , , , , , ,1,1, ,29396159010500.000000000000000,1606308,569.970623503999950,-267891.217247000020000,444702.774493000000000
50,51,50,120070605060000000000000.000000000000000,6,2006,1,23,50749,2007,8,10,2100,NC,CA, , ,N,N,N,Y,1,Y,40.500000000000000,-123.830000000000000,24, , , , , , ,1,1, ,22953469010500.000000000000000,272251,1001.093927700000000,-323571.384199999970000,282570.487499999990000
51,52,51,120070605060000000000000.000000000000000,6,2006,1,23,73417,2007,9,11,1100,NC,CA, , ,N,N,N,Y,1,Y,40.460000000000001,-124.130000000000000,24, , , , , , ,1,1, ,22953424010500.000000000000000,275974,40.108911817799999,-350158.892059999980000,279215.455908000000000
52,53,52,120070605060000000000000.000000000000000,6,2006,6,37,58506,2007,4,19,4300,WS,CA, , ,N,N,N,Y,2,N,34.240000000000002,-118.069999999999990,24, , , , , , ,1,1, ,22952812010500.000000000000000,1971114,808.450541835999960,177548.630800000010000,-418516.259000000020000
53,54,53,120070605060000000000000.000000000000000,6,2006,1,45,78033,2007,6,15,1300,NC,CA, , ,N,N,N,Y,2,N,39.250000000000000,-123.459999999999990,24, , , , , , ,1,1, ,22953348010500.000000000000000,78119,336.427143457999990,-298580.719800000020000,142750.638600000010000
54,55,54,120070605061000000000000.000000000000000,6,2006,4,79,94848,2007,4,28,2700,WS,CA, , ,N,N,N,Y,2,N,35.430000000000000,-119.890000000000000,24, , , , , , ,1,1, ,22953020010500.000000000000000,489987,506.849545256999990,9970.678500000000000,-286924.135400000030000
55,56,55,120070605061000000000000.000000000000000,6,2006,2,105,57863,2007,9,27,4300,CA,CA, , ,N,N,N,Y,1,Y,40.899999999999999,-123.239999999999990,24, , , , , , ,1,1, ,22953540010500.000000000000000,1528691,6379.396753099999800,-279107.500400000020000,322987.909400000000000
56,57,56,120070605070000010000000.000000000000000,6,2007,4,1,63550,2007,10,10,3100,CA,CA, , ,N,N,N,Y,2,N,37.530000000000001,-121.680000000000010,24, , , , , , ,1,1, ,22953158010500.000000000000000,1111239,9.348519928220000,-148259.864417000000000,-52752.084942800000000
57,58,57,120070605070000010000000.000000000000000,6,2007,4,1,63938,2007,10,8,700,CA,CA, , ,N,N,N,Y,2,N,37.689999999999998,-121.970000000000000,24, , , , , , ,1,1, ,22953164010500.000000000000000,1321697,560.708477353000030,-173914.282899999990000,-34138.414599999996000
58,59,58,120070605070000010000000.000000000000000,6,2007,4,1,87088,2007,10,10,1100,CA,CA, , ,N,N,N,Y,1,Y,37.539999999999999,-121.830000000000000,24, , , , , , ,1,1, ,22953078010500.000000000000000,1102923,819.801479817999960,-161944.776799999990000,-52061.785199999998000
59,60,59,120070605070000010000000.000000000000000,6,2007,5,3,50336,2007,8,14,8900,WS,CAMIX, , ,N,N,N,Y,1,Y,38.829999999999998,-119.880000000000000,24, , , , , , ,1,1, ,22953304010500.000000000000000,1642605,513.899715997000040,9907.703199999999900,90572.561000000002000
60,61,60,120070605070000010000000.000000000000000,6,2007,5,3,53341,2007,6,29,8500,WS,CA, , ,N,N,N,Y,1,Y,38.500000000000000,-119.770000000000000,24, , , , , , ,1,1, ,22952986010500.000000000000000,607,2316.816138130000100,17754.214400000001000,53383.909599999999000
61,62,61,120070605070000010000000.000000000000000,6,2007,5,3,54904,2007,6,22,8500,WS,CA, , ,N,N,N,Y,1,Y,38.609999999999999,-119.959999999999990,24, , , , , , ,1,1, ,22953271010500.000000000000000,562,493.807479936999980,3816.362000000000100,65630.104900000006000
62,63,62,120070605070000010000000.000000000000000,6,2007,5,3,57547,2007,7,16,7700,WS,CA, , ,N,N,N,Y,1,Y,38.649999999999999,-119.640000000000000,24, , , , , , ,1,1, ,22953272010500.000000000000000,1324171,690.961249017999990,30956.685000000001000,71097.397299999997000
63,64,63,120070605070000010000000.000000000000000,6,2007,5,3,62882,2007,7,10,6100,WS,CA, , ,N,N,N,Y,2,N,38.670000000000002,-119.819999999999990,24, , , , , , ,1,1, ,22953274010500.000000000000000,557,421.091492174000000,16048.703395900000000,72557.401502399996000
64,65,64,120070605070000010000000.000000000000000,6,2007,5,3,80496,2007,7,11,7700,WS,CA, , ,N,N,N,Y,2,N,38.820000000000000,-119.819999999999990,24, , , , , , ,1,1, ,22953305010500.000000000000000,1643459,463.785588475000000,16068.755700000000000,89263.928199999995000
65,66,65,120070605070000010000000.000000000000000,6,2007,5,3,86492,2007,7,19,9300,WS,CA, , ,N,N,N,Y,1,Y,38.460000000000001,-119.630000000000000,24, , , , , , ,1,1, ,22953066010500.000000000000000,1570275,7707.562873689999800,39910.729099999997000,48543.504999999997000
66,67,66,120070605070000010000000.000000000000000,6,2007,5,5,77418,2007,6,21,7300,WS,CA, , ,N,N,N,Y,1,Y,38.649999999999999,-120.110000000000000,24, , , , , , ,1,1, ,22953270010500.000000000000000,1691257,848.723941248999950,-9645.685499979999800,71286.772899999996000
67,68,67,120070605070000010000000.000000000000000,6,2007,5,5,87511,2007,5,23,2700,WS,CA, , ,N,N,N,Y,1,Y,38.450000000000003,-120.670000000000000,24, , , , , , ,1,1, ,22953061010500.000000000000000,152840,77.119899389899999,-58455.294399999999000,48468.392999999996000
68,69,68,120070605070000010000000.000000000000000,6,2007,5,5,97451,2007,8,16,4700,WS,CA, , ,N,N,N,Y,1,Y,38.469999999999999,-120.380000000000000,24, , , , , , ,1,1, ,22953062010500.000000000000000,1651648,114.873660423000000,-33223.667699999998000,50533.666799999999000
69,70,69,120070605070000010000000.000000000000000,6,2007,3,7,53578,2007,5,16,5500,WS,CA, , ,N,N,N,Y,1,Y,40.009999999999998,-121.489999999999990,24, , , , , , ,1,1, ,22953434010500.000000000000000,1384917,825.603867361999960,-127869.240003000000000,222980.975940000000000
70,71,70,120070605070000010000000.000000000000000,6,2007,3,7,55719,2007,4,24,900,CA,CA, , ,N,N,N,Y,1,Y,39.520000000000003,-121.430000000000010,24, , , , , , ,1,1, ,22953371010500.000000000000000,1996051,425.989785342000000,-123226.208199999990000,168264.491799999990000
71,72,71,120070605070000010000000.000000000000000,6,2007,3,7,58831,2007,4,16,3900,WS,CAMIX, , ,N,N,N,Y,1,Y,39.850000000000001,-121.470000000000000,24, , , , , , ,1,1, ,22953390010500.000000000000000,158579,88.774085808199999,-125748.135362999990000,204854.407440000010000
72,73,72,120070605070000010000000.000000000000000,6,2007,3,7,60452,2007,10,4,2100,CA,CA, , ,N,N,N,Y,1,Y,39.920000000000002,-121.670000000000000,24, , , , , , ,1,1, ,22953401010500.000000000000000,1348189,367.919456303999990,-142409.934000000010000,212588.851900000010000
73,74,73,120070605070000010000000.000000000000000,6,2007,3,7,62970,2007,4,18,3100,CA,CAMIX, , ,N,N,N,Y,1,Y,39.979999999999997,-121.650000000000010,24, , , , , , ,1,1, ,22953428010500.000000000000000,1348147,242.695463886000000,-140623.084200000010000,219441.174000000000000
74,75,74,120070605070000010000000.000000000000000,6,2007,3,7,79676,2007,5,1,3500,WS,CAMIX, , ,N,N,N,Y,1,Y,39.570000000000000,-121.130000000000000,24, , , , , , ,1,1, ,22953247010500.000000000000000,158091,107.673916438000010,-96958.637568200007000,173353.398177000000000
75,76,75,120070605070000010000000.000000000000000,6,2007,3,7,90696,2007,4,30,500,CA,CA, , ,N,N,N,Y,1,Y,39.350000000000001,-121.410000000000000,24, , , , , , ,1,1, ,22952990010500.000000000000000,2139010,788.801044411000020,-122113.399628000000000,148767.935199000000000
76,77,76,120070605070000010000000.000000000000000,6,2007,3,7,91490,2007,4,20,2300,CA,CA, , ,N,N,N,Y,2,N,39.820000000000000,-121.620000000000000,24, , , , , , ,1,1, ,22953383010500.000000000000000,158375,147.752373858999990,-138576.456100000010000,201501.410600000000000
77,78,77,120070605070000010000000.000000000000000,6,2007,3,7,93475,2007,4,26,100,CA,CA, , ,N,N,N,Y,2,N,39.490000000000002,-121.590000000000000,24, , , , , , ,1,1, ,22953367010500.000000000000000,156869,396.328398752000000,-136718.154229000010000,165332.311725000010000
78,79,78,120070605070000010000000.000000000000000,6,2007,3,7,96460,2007,9,26,2300,WS,CAMIX, , ,N,N,N,Y,1,Y,39.649999999999999,-121.280000000000000,24, , , , , , ,1,1, ,22953258010500.000000000000000,1340198,1191.264347410000000,-110242.598800000010000,183409.915000000010000
79,80,79,120070605070000010000000.000000000000000,6,2007,3,7,98818,2007,10,1,1700,WS,CAMIX, , ,N,N,N,Y,1,Y,39.680000000000000,-121.459999999999990,24, , , , , , ,1,1, ,22953372010500.000000000000000,1340833,488.267708663000010,-125359.515000000000000,186315.653700000000000
80,81,80,120070605070000010000000.000000000000000,6,2007,5,9,51342,2007,5,19,1100,CA,CA, , ,N,N,N,Y,1,Y,38.090000000000003,-120.660000000000000,24, , , , , , ,1,1, ,22953208010500.000000000000000,164396,211.285338714000010,-58021.832002399999000,8389.431928509999100
81,82,81,120070605070000010000000.000000000000000,6,2007,5,9,51992,2007,8,13,7300,WS,CA, , ,N,N,N,Y,1,Y,38.479999999999997,-120.090000000000000,24, , , , , , ,1,1, ,22953065010500.000000000000000,164889,424.980273386000020,-8264.638499959999500,51589.394099999998000
82,83,82,120070605070000010000000.000000000000000,6,2007,5,9,53939,2007,5,22,900,CA,CA, , ,N,N,N,Y,1,Y,38.070000000000000,-120.819999999999990,24, , , , , , ,1,1, ,22953198010500.000000000000000,164303,633.249653848999970,-71729.517800000001000,6895.838999999999900
83,84,83,120070605070000010000000.000000000000000,6,2007,5,9,76755,2007,5,21,700,CA,CA, , ,N,N,N,Y,3,N,38.210000000000001,-120.830000000000000,24, , , , , , ,1,1, ,22953218010500.000000000000000,165079,20.157441939000002,-72601.774417399996000,21833.701111300001000
84,85,84,120070605070000010000000.000000000000000,6,2007,5,9,76890,2007,8,15,5700,CA,CAMIX, , ,N,N,N,Y,2,N,37.899999999999999,-120.590000000000000,24, , , , , , ,1,1, ,22953063010500.000000000000000,1304132,277.979360865999980,-51702.900999999998000,-12518.522999999999000
85,86,85,120070605070000010000000.000000000000000,6,2007,5,9,87970,2007,5,17,2300,WS,CA, , ,N,N,N,Y,2,N,38.219999999999999,-120.540000000000010,24, , , , , , ,1,1, ,22953222010500.000000000000000,160690,195.015677651999990,-47023.172500000001000,22753.785599999999000
86,87,86,120070605070000010000000.000000000000000,6,2007,3,11,98640,2007,9,27,3500,CA,CA, , ,N,N,N,Y,2,N,39.270000000000003,-122.620000000000000,24, , , , , , ,1,1, ,22953349010500.000000000000000,46409,410.142613395000010,-226017.480654000010000,142836.904447000010000
87,88,87,120070605070000010000000.000000000000000,6,2007,4,13,84304,2007,10,9,300,CA,CA, , ,N,N,N,Y,2,N,37.990000000000002,-122.190000000000000,24, , , , , , ,1,1, ,22953190010500.000000000000000,1288112,26.285621214900001,-192088.259052999990000,-728.305606560999990
88,89,88,120070605070000010000000.000000000000000,6,2007,1,15,56242,2007,10,10,1900,NC,CA, , ,N,N,N,Y,1,Y,41.609999999999999,-123.950000000000000,24, , , , , , ,1,1, ,22953622010500.000000000000000,271686,163.455291104000000,-329762.028089999980000,406095.038919000010000
89,90,89,120070605070000010000000.000000000000000,6,2007,1,15,57291,2007,10,20,4100,NC,CA, , ,N,N,N,Y,2,N,41.460000000000001,-123.620000000000000,24, , , , , , ,1,1, ,22953644010500.000000000000000,1686889,400.067883845999970,-302691.302900000010000,388723.732800000000000
90,91,90,120070605070000010000000.000000000000000,6,2007,1,15,71326,2007,10,3,1500,NC,CA, , ,N,N,N,Y,1,Y,41.719999999999999,-124.000000000000000,24, , , , , , ,1,1, ,22953663010500.000000000000000,1433665,175.126635778000010,-333362.812800000010000,418272.518900000020000
91,92,91,120070605070000010000000.000000000000000,6,2007,1,15,81704,2007,7,12,2700,CA,CA, , ,N,N,N,Y,1,Y,41.950000000000003,-123.700000000000000,24, , , , , , ,1,1, ,22953693010500.000000000000000,271111,137.335917032999990,-307147.778303999980000,442902.728336000000000
92,93,92,120070605070000010000000.000000000000000,6,2007,1,15,83391,2007,7,13,2300,NC,CA, , ,N,N,N,Y,1,Y,41.880000000000003,-123.860000000000000,24, , , , , , ,1,1, ,22953680010500.000000000000000,1435932,163.786063907000000,-320978.196716999980000,435526.724055000000000
93,94,93,120070605070000010000000.000000000000000,6,2007,1,15,87311,2007,7,9,1900,NC,CAMIX, , ,N,N,N,Y,1,Y,41.890000000000001,-124.000000000000000,24, , , , , , ,1,1, ,22953685010500.000000000000000,1438050,479.946543882000010,-332674.924100000000000,436816.658600000020000
