"biosum_plot_id","statecd","invyr","unitcd","countycd","plot","measyear","measmon","measday","elev","fvs_variant","half_state","subplot_count_plot","gis_yard_dist","gis_protected_area_yn","gis_roadless_yn","all_cond_not_accessible_yn","plot_accessible_yn","num_cond","one_cond_yn","lat","lon","macro_breakpoint_dia","merch_haul_cost_id","merch_haul_cost_psite","merch_haul_cpa_pt","chip_haul_cost_id","chip_haul_cost_psite","chip_haul_cpa_pt","biosum_status_cd","gis_status_id","idb_plot_id","cn"
"120060605060230051062000",6,2006,1,23,51062,2006,8,10,4300,"NC","CA        ",NA,3500,"N","N","Y","N","1","Y",40.385149,-123.65993,24,1744,40,10.87920625,8070,45,12.2600875,"1",1,NA,"8891866010901                     "
"120060605060230055540000",6,2006,1,23,55540,2006,7,5,3100,"NC","CA        ",NA,1946,"N","N","N","Y","2","N",40.115993,-123.685059,24,1814,40,8.52507552083333,6258,45,15.069721875,"1",1,NA,"8891210010901                     "
"120060605060290067727000",6,2006,5,29,67727,2006,10,21,3700,"WS","CA        ",NA,274,"N","N","N","Y","1","Y",35.574693,-118.278399,24,4655,81,14.4744385416667,6606,4,15.9168,"1",1,NA,"8900493010901                     "
"120060605060330059355000",6,2006,3,33,59355,2006,11,9,1900,"NC","CA        ",NA,184,"N","N","N","Y","2","N",39.124853,-122.973067,24,622,24,4.87023020833333,10047,83,19.1110875,"1",1,NA,"8901373010901                     "
"120060605060350072523000",6,2006,2,35,72523,2006,9,5,6100,"SO","CA        ",NA,174,"N","N","N","Y","1","Y",40.923972,-120.67341,24,1239,15,15.5520270833333,5749,15,15.5520270833333,"1",1,NA,"8905053010901                     "
"120060605060390072095000",6,2006,5,39,72095,2006,11,30,900,"CA","CA        ",NA,258,"N","N","N","Y","1","Y",37.277688,-119.853705,24,4100,79,9.493275,6515,16,13.5037552083333,"1",1,NA,"8906841010901                     "
"120060605060430053581000",6,2006,5,43,53581,2006,6,21,2100,"CA","CA        ",NA,409,"N","N","N","Y","1","Y",37.732715,-120.213999,24,2618,52,3.77771536458333,6773,16,2.79290989583333,"1",1,NA,"8909391010901                     "
"120060605060430058557000",6,2006,5,43,58557,2006,10,31,1500,"CA","CA        ",NA,3036,"N","N","Y","N","2","N",37.597018,-120.206861,24,2943,52,8.13940520833333,7185,16,7.1546078125,"1",1,NA,"8908917010901                     "
"120060605060430064943000",6,2006,5,43,64943,2006,6,19,2100,"CA","CA        ",NA,1081,"N","N","N","Y","1","Y",37.412911,-120.039744,24,4077,79,7.50923229166667,6483,16,9.1196,"1",1,NA,"8908514010901                     "
"120060605060450067698000",6,2006,1,45,67698,2006,8,9,1500,"NC","CA        ",NA,2325,"N","N","Y","N","3","N",39.048445,-123.612322,24,1478,24,11.8351145833333,10064,83,32.0911145833333,"1",1,NA,"8910176010901                     "
"120060605060450068647000",6,2006,1,45,68647,2006,8,4,2300,"NC","CA        ",NA,427,"N","N","N","Y","2","N",38.911425,-123.555308,24,1503,24,9.00793854166667,10104,83,28.40709375,"1",1,NA,"8910061010901                     "
"120060605060450083419000",6,2006,1,45,83419,2006,10,12,900,"NC","CA        ",NA,3173,"N","N","N","Y","2","N",39.130358,-123.452778,24,617,24,4.21952578125,10042,83,26.2155729166667,"1",1,NA,"8910313010901                     "
"120060605060450094236000",6,2006,1,45,94236,2006,8,5,900,"NC","CA        ",NA,672,"N","N","N","Y","2","N",38.78118,-123.388052,24,1724,28,7.25411302083333,10151,83,27.2673875,"1",1,NA,"8909916010901                     "
"120060605060530058878000",6,2006,4,53,58878,2006,6,5,1900,"WS","CA        ",NA,932,"N","N","N","Y","2","N",35.935041,-120.98081,24,4008,7,24.6748375,10792,84,28.23375625,"1",1,NA,"8919345010901                     "
"120060605060730075245000",6,2006,6,73,75245,2006,5,12,4700,"WS","CA        ",NA,1674,"N","N","N","Y","1","Y",33.158202,-116.590681,24,4962,81,43.0496375,8199,4,46.8521583333333,"1",1,NA,"8895307010901                     "
"120060605060790076764000",6,2006,4,79,76764,2006,9,15,1500,"WS","CA        ",NA,1078,"N","N","N","Y","2","N",35.258699,-120.396991,24,4717,81,22.0091270833333,8296,4,25.8119104166667,"1",1,NA,"8896153010901                     "
"120060605060930056069000",6,2006,2,93,56069,2006,7,13,6300,"NC","CAMIX     ",NA,19031,"N","N","N","Y","1","Y",41.545073,-123.323055,24,3727,57,19.5969583333333,7255,17,19.12749375,"1",1,NA,"8955350010901                     "
"120060605060930061925000",6,2006,2,93,61925,2006,9,26,5500,"CA","CA        ",NA,3432,"N","N","Y","N","1","Y",41.451122,-122.673209,24,2819,32,10.006153125,6975,32,10.006153125,"1",1,NA,"8955069010901                     "
"120060605060930081729000",6,2006,2,93,81729,2006,9,18,6900,"SO","CA        ",NA,1800,"N","N","N","Y","1","Y",41.577507,-121.5703,24,2795,32,14.1879229166667,6936,32,14.1879229166667,"1",1,NA,"8956368010901                     "
"120060605060930098087000",6,2006,2,93,98087,2006,9,28,5300,"SO","CA        ",NA,1522,"N","N","N","Y","1","Y",41.967793,-122.131905,24,2725,32,11.3413291666667,7619,32,11.3413291666667,"1",1,NA,"8960153010901                     "
"120060605060970076272000",6,2006,1,97,76272,2006,10,11,1700,"NC","CA        ",NA,545,"N","N","N","Y","1","Y",38.797339,-122.942587,24,1626,26,1.68039401041667,10150,83,19.845925,"1",1,NA,"8961294010901                     "
"120060605060970079792000",6,2006,1,97,79792,2006,11,15,1300,"NC","CA        ",NA,1073,"N","N","N","Y","3","N",38.650085,-123.066076,24,1650,26,3.96184869791667,10192,83,21.37823125,"1",1,NA,"8961064010901                     "
"120060605061050053987000",6,2006,2,105,53987,2006,11,1,5900,"CA","CA        ",NA,20396,"N","N","N","Y","2","N",40.948314,-123.080557,24,2020,5,6.603940625,9046,53,16.6787052083333,"1",1,NA,"8967136010901                     "
"120060605061050098828000",6,2006,2,105,98828,2006,10,3,4500,"CA","CAMIX     ",NA,17792,"N","N","N","Y","1","Y",41.065266,-123.417795,24,2001,5,13.182459375,7384,17,13.06533125,"1",1,NA,"8973837010901                     "
"120060605061070060912000",6,2006,5,107,60912,2006,8,15,3900,"WS","CA        ",NA,6365,"N","N","Y","N","1","Y",35.856098,-118.416524,24,4589,81,11.942509375,6828,4,11.9971416666667,"1",1,NA,"8968876010901                     "
"120070601070150086207000",6,2007,1,15,86207,2007,11,1,3100,"CA","CA        ",NA,100,"N","N","N","Y","1","Y",41.98236,-123.658001,24,2327,31,19.9664145833333,9670,78,10.5207791666667,"1",1,NA,"29396052010497                    "
"120070601070930066783000",6,2007,2,93,66783,2007,8,21,5300,"CA","CAMIX     ",NA,100,"N","N","N","Y","2","N",41.986027,-122.932582,24,2342,31,8.51073645833333,7594,32,12.8948666666667,"1",1,NA,"29396157010497                    "
"120070601070930085856000",6,2007,2,93,85856,2007,10,11,3900,"CA","CA        ",NA,1535,"N","N","N","Y","1","Y",41.961292,-123.130698,24,2363,31,12.52110625,7607,32,17.3183333333333,"1",1,NA,"29396158010497                    "
"120070601070930087272000",6,2007,2,93,87272,2007,10,24,3300,"CA","CA        ",NA,1870,"N","N","N","Y","1","Y",41.985813,-123.229826,24,2334,31,14.663896875,7586,32,19.0480291666667,"1",1,NA,"29396159010497                    "
"120070605060230050749000",6,2006,1,23,50749,2007,8,10,2100,"NC","CA        ",NA,3284,"N","N","N","Y","1","Y",40.509766,-123.837314,24,1868,45,7.40595729166667,8034,45,7.40595729166667,"1",1,NA,"22953469010497                    "
"120070605060230073417000",6,2006,1,23,73417,2007,9,11,1100,"NC","CA        ",NA,132,"N","N","N","Y","1","Y",40.468323,-124.137839,24,2520,40,1.867983984375,8043,45,6.24174322916667,"1",1,NA,"22953424010497                    "
"120070605060370058506000",6,2006,6,37,58506,2007,4,19,4300,"WS","CA        ",NA,2652,"N","N","N","Y","2","N",34.24202,-118.072299,24,4940,81,23.3009604166667,7089,4,27.1034791666667,"1",1,NA,"22952812010497                    "
"120070605060450078033000",6,2006,1,45,78033,2007,6,15,1300,"NC","CA        ",NA,1104,"N","N","N","Y","2","N",39.253969,-123.461892,24,996,24,4.41816145833333,10001,83,26.0459125,"1",1,NA,"22953348010497                    "
"120070605060790094848000",6,2006,4,79,94848,2007,4,28,2700,"WS","CA        ",NA,1663,"N","N","N","Y","2","N",35.432356,-119.897786,24,4689,81,14.4993958333333,8268,4,17.766125,"1",1,NA,"22953020010497                    "
"120070605061050057863000",6,2006,2,105,57863,2007,9,27,4300,"CA","CA        ",NA,20930,"N","N","N","Y","1","Y",40.902133,-123.247612,24,2033,5,8.0924390625,6830,17,15.1191677083333,"1",1,NA,"22953540010497                    "
"120070605070010063550000",6,2007,4,1,63550,2007,10,10,3100,"CA","CA        ",NA,100,"N","N","N","Y","2","N",37.535245,-121.681824,24,3909,7,14.943575,10321,83,17.6146354166667,"1",1,NA,"22953158010497                    "
"120070605070010063938000",6,2007,4,1,63938,2007,10,8,700,"CA","CA        ",NA,1840,"N","N","N","Y","2","N",37.690118,-121.973938,24,3900,7,12.8219552083333,10312,83,12.9738416666667,"1",1,NA,"22953164010497                    "
"120070605070010087088000",6,2007,4,1,87088,2007,10,10,1100,"CA","CA        ",NA,2690,"N","N","N","Y","1","Y",37.548553,-121.83001,24,3908,7,12.1267364583333,10320,83,15.1039416666667,"1",1,NA,"22953078010497                    "
"120070605070030050336000",6,2007,5,3,50336,2007,8,14,8900,"WS","CAMIX     ",NA,1686,"N","N","N","Y","1","Y",38.831665,-119.885685,24,4238,80,15.570665625,8720,51,18.53433125,"1",1,NA,"22953304010497                    "
"120070605070030053341000",6,2007,5,3,53341,2007,6,29,8500,"WS","CA        ",NA,7601,"N","N","N","Y","1","Y",38.501138,-119.776483,24,3040,54,16.0841927083333,9399,54,16.0841927083333,"1",1,NA,"22952986010497                    "
"120070605070030054904000",6,2007,5,3,54904,2007,6,22,8500,"WS","CA        ",NA,1620,"N","N","N","Y","1","Y",38.616069,-119.962241,24,4329,80,15.9015020833333,9004,51,21.0086625,"1",1,NA,"22953271010497                    "
"120070605070030057547000",6,2007,5,3,57547,2007,7,16,7700,"WS","CA        ",NA,2267,"N","N","N","Y","1","Y",38.651034,-119.646787,24,3018,54,17.8623416666667,9360,54,17.8623416666667,"1",1,NA,"22953272010497                    "
"120070605070030062882000",6,2007,5,3,62882,2007,7,10,6100,"WS","CA        ",NA,1382,"N","N","N","Y","2","N",38.67674,-119.821234,24,4300,80,16.9822020833333,9359,54,18.4930541666667,"1",1,NA,"22953274010497                    "
"120070605070030080496000",6,2007,5,3,80496,2007,7,11,7700,"WS","CA        ",NA,1522,"N","N","N","Y","2","N",38.821511,-119.825152,24,4240,80,17.235915625,8722,51,20.7776729166667,"1",1,NA,"22953305010497                    "
"120070605070030086492000",6,2007,5,3,86492,2007,7,19,9300,"WS","CA        ",NA,25287,"N","N","N","Y","1","Y",38.460237,-119.638145,24,3052,54,19.4556979166667,9422,54,19.4556979166667,"1",1,NA,"22953066010497                    "
"120070605070050077418000",6,2007,5,5,77418,2007,6,21,7300,"WS","CA        ",NA,2785,"N","N","Y","N","1","Y",38.655165,-120.116007,24,4309,80,11.3696927083333,8986,51,16.476853125,"1",1,NA,"22953270010497                    "
"120070605070050087511000",6,2007,5,5,87511,2007,5,23,2700,"WS","CA        ",NA,253,"N","N","N","Y","1","Y",38.457513,-120.673827,24,4381,80,4.72144166666667,9420,54,12.3761927083333,"1",1,NA,"22953061010497                    "
"120070605070050097451000",6,2007,5,5,97451,2007,8,16,4700,"WS","CA        ",NA,377,"N","N","N","Y","1","Y",38.476577,-120.383932,24,4372,80,8.83078229166667,9409,54,14.1496739583333,"1",1,NA,"22953062010497                    "
